order_id,order_date,customer_id,customer_segment,region,sales_channel,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,shipping_cost,total_amount,payment_method,order_status,customer_rating,year,month,quarter,month_name,day_of_week,is_weekend,is_q4,profit,revenue_bucket,pipeline_run_ts,data_source
ORD000001,2022-06-28,CUST02419,Returning,North,Website,Beauty & Personal Care,Moisturizer,8.63,1,0,0.0,8.63,18.41,27.04,Debit Card,Delivered,3.1,2022,6,2,Jun,Tuesday,False,False,3.02,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000002,2023-07-24,CUST00027,Premium,South,Mobile App,Clothing,Boots,200.22,2,0,0.0,400.44,0.0,400.44,Paypal,Delivered,3.4,2023,7,3,Jul,Monday,False,False,140.15,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000003,2022-03-30,CUST02989,Returning,North,Social Media,Home & Kitchen,Blender,64.52,1,20,12.9,51.62,15.09,66.71,Bank Transfer,Delivered,3.6,2022,3,1,Mar,Wednesday,False,False,18.07,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000004,2022-05-23,CUST00188,Returning,East,Social Media,Beauty & Personal Care,Sunscreen,133.39,1,0,0.0,133.39,0.0,133.39,Debit Card,Cancelled,2.0,2022,5,2,May,Monday,False,False,46.69,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000005,2022-05-27,CUST02496,Returning,Central,Mobile App,Books,History,68.06,1,0,0.0,68.06,16.75,84.81,Debit Card,Delivered,3.5,2022,5,2,May,Friday,False,False,23.82,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000006,2022-04-25,CUST00939,Premium,East,Mobile App,Beauty & Personal Care,Face Wash,85.76,2,20,34.3,137.22,0.0,137.22,Credit Card,Delivered,4.9,2022,4,2,Apr,Monday,False,False,48.03,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000007,2022-10-20,CUST01085,New,Central,Mobile App,Beauty & Personal Care,Perfume,35.83,1,20,7.17,28.66,16.07,44.73,Crypto,Delivered,4.2,2022,10,4,Oct,Thursday,False,True,10.03,<$50,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000008,2022-04-07,CUST00450,New,South,Marketplace,Home & Kitchen,Coffee Maker,498.72,1,5,24.94,473.78,0.0,473.78,Bank Transfer,Delivered,3.8,2022,4,2,Apr,Thursday,False,False,165.82,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000009,2022-01-24,CUST02787,Premium,Central,Marketplace,Sports & Outdoors,Bicycle,428.0,5,20,428.0,1712.0,0.0,1712.0,Paypal,Delivered,3.9,2022,1,1,Jan,Monday,False,False,599.2,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000010,2024-10-22,CUST00732,Returning,North,Marketplace,Books,Fiction Novel,76.67,4,0,0.0,306.68,0.0,306.68,Paypal,Returned,2.3,2024,10,4,Oct,Tuesday,False,True,107.34,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000011,2022-01-02,CUST02454,Returning,North,Website,Clothing,Jeans,121.57,1,30,36.47,85.1,23.06,108.16,Paypal,Cancelled,3.1,2022,1,1,Jan,Sunday,True,False,29.78,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000012,2022-06-25,CUST02998,Returning,North,Social Media,Home & Kitchen,Coffee Maker,47.8,4,25,47.8,143.4,0.0,143.4,Crypto,Returned,1.3,2022,6,2,Jun,Saturday,True,False,50.19,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000013,2023-02-16,CUST02921,Returning,East,Mobile App,Books,Science,19.89,2,10,3.98,35.8,24.11,59.91,Crypto,Delivered,3.5,2023,2,1,Feb,Thursday,False,False,12.53,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000014,2022-01-15,CUST00291,Premium,North,Website,Electronics,Tablet,101.53,2,10,20.31,182.75,0.0,182.75,Credit Card,Cancelled,1.2,2022,1,1,Jan,Saturday,True,False,63.96,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000015,2024-08-26,CUST00996,Premium,West,Website,Clothing,Jacket,205.66,1,0,0.0,205.66,0.0,205.66,Credit Card,Delivered,3.7,2024,8,3,Aug,Monday,False,False,71.98,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000016,2022-05-05,CUST01650,Premium,North,Website,Books,Biography,70.2,1,10,7.02,63.18,16.15,79.33,Debit Card,Delivered,3.3,2022,5,2,May,Thursday,False,False,22.11,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000017,2022-07-20,CUST00208,Returning,Central,Marketplace,Clothing,Jacket,146.85,4,0,0.0,587.4,0.0,587.4,Credit Card,Cancelled,3.1,2022,7,3,Jul,Wednesday,False,False,205.59,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000018,2022-05-01,CUST00675,Returning,West,Website,Clothing,Dress,153.41,1,5,7.67,145.74,0.0,145.74,Bank Transfer,Delivered,4.4,2022,5,2,May,Sunday,True,False,51.01,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000019,2023-03-22,CUST00240,Returning,Central,Website,Beauty & Personal Care,Sunscreen,100.97,1,0,0.0,100.97,0.0,100.97,Paypal,Delivered,4.2,2023,3,1,Mar,Wednesday,False,False,35.34,$50-200,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000020,2023-01-16,CUST00281,Returning,South,Mobile App,Sports & Outdoors,Tent,134.37,5,0,0.0,671.85,0.0,671.85,Crypto,Delivered,4.2,2023,1,1,Jan,Monday,False,False,235.15,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000021,2023-06-19,CUST00837,Returning,East,Website,Sports & Outdoors,Yoga Mat,341.19,2,5,34.12,648.26,0.0,648.26,Bank Transfer,Delivered,4.3,2023,6,2,Jun,Monday,False,False,226.89,$500-1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000022,2022-07-24,CUST00301,Returning,Central,Website,Books,Textbook,74.89,4,0,0.0,299.56,0.0,299.56,Paypal,Cancelled,3.2,2022,7,3,Jul,Sunday,True,False,104.85,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000023,2024-12-19,CUST00033,Returning,Central,Website,Home & Kitchen,Vacuum Cleaner,95.72,3,15,43.07,244.09,0.0,244.09,Credit Card,Cancelled,1.3,2024,12,4,Dec,Thursday,False,True,85.43,$200-500,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000024,2023-03-08,CUST02940,Returning,East,Mobile App,Electronics,Laptop,1868.92,1,0,0.0,1868.92,0.0,1868.92,Paypal,Cancelled,3.1,2023,3,1,Mar,Wednesday,False,False,654.12,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000025,2022-09-25,CUST02610,Vip,South,Mobile App,Electronics,Camera,1087.76,1,0,0.0,1087.76,0.0,1087.76,Crypto,Delivered,4.1,2022,9,3,Sep,Sunday,True,False,380.72,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
ORD000026,2022-03-15,CUST01513,Returning,South,Mobile App,Electronics,Laptop,2365.37,2,0,0.0,4730.74,0.0,4730.74,Credit Card,Delivered,4.8,2022,3,1,Mar,Tuesday,False,False,1655.76,>$1K,2026-03-19T18:38:15.387227,ecommerce_sales_raw_csv
