order_id,order_date,customer_id,customer_segment,region,sales_channel,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,shipping_cost,total_amount,payment_method,order_status,customer_rating
ORD000001,2022-06-28,CUST02419,Returning,North,Website,Beauty & Personal Care,Moisturizer,8.63,1,0,0.0,8.63,18.41,27.04,Debit Card,Delivered,3.1
ORD000002,2023-07-24,CUST00027,Premium,South,Mobile App,Clothing,Boots,200.22,2,0,0.0,400.44,0.0,400.44,PayPal,Delivered,3.4
ORD000003,2022-03-30,CUST02989,Returning,North,Social Media,Home & Kitchen,Blender,64.52,1,20,12.9,51.62,15.09,66.71,Bank Transfer,Delivered,3.6
ORD000004,2022-05-23,CUST00188,Returning,East,Social Media,Beauty & Personal Care,Sunscreen,133.39,1,0,0.0,133.39,0.0,133.39,Debit Card,Cancelled,2.0
ORD000005,2022-05-27,CUST02496,Returning,Central,Mobile App,Books,History,68.06,1,0,0.0,68.06,16.75,84.81,Debit Card,Delivered,3.5
ORD000006,2022-04-25,CUST00939,Premium,East,Mobile App,Beauty & Personal Care,Face Wash,85.76,2,20,34.3,137.22,0.0,137.22,Credit Card,Delivered,4.9
ORD000007,2022-10-20,CUST01085,New,Central,Mobile App,Beauty & Personal Care,Perfume,35.83,1,20,7.17,28.66,16.07,44.73,Crypto,Delivered,4.2
ORD000008,2022-04-07,CUST00450,New,South,Marketplace,Home & Kitchen,Coffee Maker,498.72,1,5,24.94,473.78,0.0,473.78,Bank Transfer,Delivered,3.8
ORD000009,2022-01-24,CUST02787,Premium,Central,Marketplace,Sports & Outdoors,Bicycle,428.0,5,20,428.0,1712.0,0.0,1712.0,PayPal,Delivered,3.9
ORD000010,2024-10-22,CUST00732,Returning,North,Marketplace,Books,Fiction Novel,76.67,4,0,0.0,306.68,0.0,306.68,PayPal,Returned,2.3
ORD000011,2022-01-02,CUST02454,Returning,North,Website,Clothing,Jeans,121.57,1,30,36.47,85.1,23.06,108.16,PayPal,Cancelled,3.1
ORD000012,2022-06-25,CUST02998,Returning,North,Social Media,Home & Kitchen,Coffee Maker,47.8,4,25,47.8,143.4,0.0,143.4,Crypto,Returned,1.3
ORD000013,2023-02-16,CUST02921,Returning,East,Mobile App,Books,Science,19.89,2,10,3.98,35.8,24.11,59.91,Crypto,Delivered,3.5
ORD000014,2022-01-15,CUST00291,Premium,North,Website,Electronics,Tablet,101.53,2,10,20.31,182.75,0.0,182.75,Credit Card,Cancelled,1.2
ORD000015,2024-08-26,CUST00996,Premium,West,Website,Clothing,Jacket,205.66,1,0,0.0,205.66,0.0,205.66,Credit Card,Delivered,3.7
ORD000016,2022-05-05,CUST01650,Premium,North,Website,Books,Biography,70.2,1,10,7.02,63.18,16.15,79.33,Debit Card,Delivered,3.3
ORD000017,2022-07-20,CUST00208,Returning,Central,Marketplace,Clothing,Jacket,146.85,4,0,0.0,587.4,0.0,587.4,Credit Card,Cancelled,3.1
ORD000018,2022-05-01,CUST00675,Returning,West,Website,Clothing,Dress,153.41,1,5,7.67,145.74,0.0,145.74,Bank Transfer,Delivered,4.4
ORD000019,2023-03-22,CUST00240,Returning,Central,Website,Beauty & Personal Care,Sunscreen,100.97,1,0,0.0,100.97,0.0,100.97,PayPal,Delivered,4.2
ORD000020,2023-01-16,CUST00281,Returning,South,Mobile App,Sports & Outdoors,Tent,134.37,5,0,0.0,671.85,0.0,671.85,Crypto,Delivered,4.2
ORD000021,2023-06-19,CUST00837,Returning,East,Website,Sports & Outdoors,Yoga Mat,341.19,2,5,34.12,648.26,0.0,648.26,Bank Transfer,Delivered,4.3
ORD000022,2022-07-24,CUST00301,Returning,Central,Website,Books,Textbook,74.89,4,0,0.0,299.56,0.0,299.56,PayPal,Cancelled,3.2
ORD000023,2024-12-19,CUST00033,Returning,Central,Website,Home & Kitchen,Vacuum Cleaner,95.72,3,15,43.07,244.09,0.0,244.09,Credit Card,Cancelled,1.3
ORD000024,2023-03-08,CUST02940,Returning,East,Mobile App,Electronics,Laptop,1868.92,1,0,0.0,1868.92,0.0,1868.92,PayPal,Cancelled,3.1
ORD000025,2022-09-25,CUST02610,VIP,South,Mobile App,Electronics,Camera,1087.76,1,0,0.0,1087.76,0.0,1087.76,Crypto,Delivered,4.1
ORD000026,2022-03-15,CUST01513,Returning,South,Mobile App,Electronics,Laptop,2365.37,2,0,0.0,4730.74,0.0,4730.74,Credit Card,Delivered,4.8
ORD000027,2024-04-12,CUST02543,Premium,South,Marketplace,Electronics,Tablet,564.69,1,0,0.0,564.69,0.0,564.69,Debit Card,Cancelled,1.1
ORD000028,2023-05-24,CUST01093,New,North,Website,Beauty & Personal Care,Perfume,118.45,1,10,11.85,106.6,0.0,106.6,Credit Card,Cancelled,1.6
ORD000029,2023-01-31,CUST01633,Returning,North,Social Media,Books,Textbook,29.97,3,0,0.0,89.91,0.59,90.5,PayPal,Delivered,4.0
ORD000030,2023-06-28,CUST00157,New,West,Website,Beauty & Personal Care,Sunscreen,53.02,1,20,10.6,42.42,6.53,48.95,PayPal,Delivered,5.0
ORD000031,2024-06-12,CUST00007,Returning,Central,Mobile App,Electronics,Headphones,2253.79,1,0,0.0,2253.79,0.0,2253.79,Debit Card,Delivered,3.1
